Creador;El;ULib;FULib;Fe.entrega;Solped;CM;EntrgFinal;C.Rec.;V.Rec.;C.Fac.;V.Fac.;Antic.;Tp.cambio;TipoCambio;Cond.pago;Centro;Almacén;Doc.compr.;Posición;Contrato;IndBorrado;EstadLiber;Proveedor;Nombre;Material;Txt.brv.;Tp.imput.;Gpo.artíc.;Grp-Compr.;Tipo doc.;Cl.doc.;Liber.;GrupoLib.;EstrLiber;Gestión OC;Fecha doc.;Cantidad;UM pedido;CxCal;CxEnt;Valor neto;Valor efec;VxCal;VxEnt;Moneda;V.neto ML;ML;;PosSolPed;Fe.solic.;Respons.;Fe.Migo;Mot. Anul.;Negocia
Usuario 1;16.05.2022;Usuario 1;16.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 1;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;16.05.2022;5.328;UN;;;;;;;INR;468426.00;INR;;10;21.03.2022;Usuario 1;;;
Usuario 1;16.05.2022;Usuario 1;16.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 1;20;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;16.05.2022;7.009;UN;;;;;;;INR;741761.00;INR;;20;21.03.2022;Usuario 1;;;
Usuario 1;16.05.2022;Usuario 1;16.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 2;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;16.05.2022;5.000;UN;;;;;;;INR;471816.00;INR;;10;21.03.2022;Usuario 1;;;
Usuario 1;16.05.2022;Usuario 1;16.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 2;20;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;16.05.2022;7.006;UN;;;;;;;INR;709446.00;INR;;20;21.03.2022;Usuario 1;;;
Usuario 1;10.05.2022;Usuario 1;11.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 3;10;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;10.05.2022;1.585.007;UN;;;;;;;INR;4048245.00;INR;;10;21.03.2022;Usuario 1;;;
Usuario 1;10.05.2022;Usuario 1;11.05.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 3;20;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;10.05.2022;1.585.006;UN;;;;;;;INR;4062876.00;INR;;20;21.03.2022;Usuario 1;;;
Usuario 1;28.04.2022;Usuario 1;28.04.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 4;10;;;X;;prov 353;;;;grupo 3;17;F;;1;;;4;28.04.2022;433.007;CJ;;;;;;;INR;24318018.00;INR;;10;21.03.2022;Usuario 1;;;
Usuario 1;25.04.2022;Usuario 1;25.04.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 5;10;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;25.04.2022;15.553.008;UN;;;;;;;INR;12925767.00;INR;;10;21.03.2022;Usuario 1;;;
Usuario 1;25.04.2022;Usuario 1;25.04.2022;21.03.2022;X;;;;;;;;100.000;100.000;;A;;documento 5;20;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;25.04.2022;15.553.001;UN;;;;;;;INR;12952988.00;INR;;20;21.03.2022;Usuario 1;;;
Usuario 1;15.12.2021;Usuario 1;15.12.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 6;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;15.12.2021;3.008;UN;;;;;;;INR;291513.00;INR;;130;15.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;20.12.2021;X;;;;;;;;100.000;100.000;;B;;documento 7;10;;;XXXX;;prov 352;;;K;grupo 4;23;F;;1;;;4;10.12.2021;445.009;UN;;;;;;;INR;10184402.00;INR;;10;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.04.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;20;;;XXXX;;prov 352;;;K;grupo 5;23;F;;1;;;4;10.12.2021;667.009;UN;;;;;;;INR;12199129.00;INR;;20;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;20.12.2021;X;;;;;;;;100.000;100.000;;B;;documento 7;30;;;XXXX;;prov 352;;;K;grupo 6;23;F;;1;;;4;10.12.2021;889.009;UN;;;;;;;INR;3240715.00;INR;;30;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.01.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;40;;;XXXX;;prov 352;;;K;grupo 7;23;F;;1;;;4;10.12.2021;889.001;UN;;;;;;;INR;8102152.00;INR;;40;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.01.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;50;;;XXXX;;prov 352;;;K;grupo 7;23;F;;1;;;4;10.12.2021;889.008;UN;;;;;;;INR;2234480.00;INR;;50;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.01.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;60;;;XXXX;;prov 352;;;K;grupo 7;23;F;;1;;;4;10.12.2021;667.009;UN;;;;;;;INR;1616794.00;INR;;60;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.04.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;70;;;XXXX;;prov 352;;;K;grupo 5;23;F;;1;;;4;10.12.2021;11.004;UN;;;;;;;INR;38943.00;INR;;70;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.04.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;80;;;XXXX;;prov 352;;;K;grupo 5;23;F;;1;;;4;10.12.2021;11.006;UN;;;;;;;INR;42409.00;INR;;80;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;12.04.2022;X;;;;;;;;100.000;100.000;;B;;documento 7;90;;;XXXX;;prov 352;;;K;grupo 5;23;F;;1;;;4;10.12.2021;11.003;UN;;;;;;;INR;23950.00;INR;;90;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;20.12.2021;X;;;;;;;;100.000;100.000;;B;;documento 7;100;;;XXXX;;prov 352;;;K;grupo 6;23;F;;1;;;4;10.12.2021;301.008;UN;;;;;;;INR;4083025.00;INR;;100;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;09.12.2021;X;;;;;;;;100.000;100.000;;B;;documento 7;110;;;XXXX;;prov 352;;;K;grupo 8;23;F;;1;;;4;10.12.2021;301.006;UN;;;;;;;INR;1343433.00;INR;;110;09.12.2021;Usuario 1;;;
Usuario 1;10.12.2021;Usuario 1;16.12.2021;20.12.2021;X;;;;;;;;100.000;100.000;;B;;documento 7;120;;;XXXX;;prov 352;;;K;grupo 6;23;F;;1;;;4;10.12.2021;101.009;UN;;;;;;;INR;2507551.00;INR;;120;09.12.2021;Usuario 1;;;
Usuario 1;25.11.2021;Usuario 1;26.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 8;10;;;X;;prov 351;;;;grupo 2;17;F;;1;;;4;25.11.2021;61.002;UN;;;;;;;INR;19511.00;INR;;80;18.10.2021;Usuario 1;;;
Usuario 1;25.11.2021;Usuario 1;26.11.2021;30.11.2021;;;X;;;;;;100.000;100.000;;C;;documento 8;20;;;X;;prov 351;;;K;grupo 9;17;F;;1;;;4;25.11.2021;2.008;UN;;;;;;;INR;19333.00;INR;;;;Usuario 1;;;
Usuario 1;22.11.2021;Usuario 1;23.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 9;10;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;22.11.2021;5.041.001;UN;;;;;;;INR;4151950.00;INR;;10;15.10.2021;Usuario 1;;;
